rewire_id,text,label_sexist,label_category,label_vector,split,token,target,keyword,bert_predicted_class,reberta_predicted_class,xlnet_predicted_class,lime_output_token,lime_class0_predict_token,lime_class1_predict_token,SHAP_value_token,SHAP_class0_prediction_token,SHAP_class1_prediction_token,lime_output_target,lime_class0_predict_target,lime_class1_predict_target,SHAP_value_target,SHAP_class0_prediction_target,SHAP_class1_prediction_target
sexism2022_english-5581,"please.... take my wife, rape my daughter!! but whatever you do, leave the j00s alone!!! - cuckolded ""conservatives""",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,train,"take my wife, rape my daughter, j00s , cuckolded","j00s, conservatives"," rape, j00s , cuckolded",0,0,0,"[(""rape"", 0.034508896297991185), (""wife"", 0.030319428964288915), (""whatever"", 0.009302316332090586), (""alone"", 0.007173879193036502), (""cuckolded"", 0.006357524714343822), (""daughter"", -0.007047525069469438), (""please"", -0.010100497164482884), (""j00s"", -0.024526493349252852), (""take"", -0.028647780727465377), (""conservatives"", -0.034762169222404334)]",0.9770909548,0.02290909924,"[""please "", ""take "", ""wife "", ""daughter "", ""j00s ""]",0.9964957833,-0.748120904,"[(""cuckolded"", 0.026824294041628338), (""conservatives"", 0.022754611237467914), (""wife"", 0.015859641912210207), (""daughter"", 0.015455231326546423), (""rape"", 0.015366321389876566), (""leave"", 0.011222654630812498), (""alone"", 0.008669024880689833), (""j00s"", 0.004708695757682893), (""take"", 0.0027124493256620954), (""please"", 0.002585446209923529)]",0.0782180801,0.9217818975,"["""", ""please"", "".... "", ""take "", ""my "", ""wife"", "", "", ""rape "", ""my "", ""daughter"", ""!! "", ""but "", ""whatever "", ""you "", ""do"", "", "", ""leave "", ""the "", ""j"", ""00"", ""s "", ""alone"", ""!!! "", ""- "", ""c"", ""uck"", ""olded "", """""", ""cons"", ""ervatives"", """""", """"]",0,0.1281027794
sexism2022_english-10735,"she didn't have to be a bitch about it. she literally went out of her way to rub the rejection in his face, when a simple ""i appriciate the offer but i have a boyfriend"" would have sufficed.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,She didn't have to be a bitch about it,she,bitch,1,1,0,"[(""bitch"", 0.957563340797174), (""sufficed"", 0.01029129764292027), (""face"", 0.008070659737502319), (""rub"", 0.0062339268579096815), (""simple"", 0.004786035040970405), (""would"", 0.004339344047885868), (""boyfriend"", 0.003336717999719742), (""rejection"", 0.002494121678384864), (""went"", 0.00243375539007828), (""offer"", 0.0014562710292266373)]",0.007655246649,0.9923447967,"[""literally "", ""went "", ""way "", ""face "", ""simple "", ""offer "", ""would ""]",0.9980604053,-0.748120904,"[(""bitch"", 0.028413708131203717), (""face"", 0.01982636324324493), (""would"", 0.018916178473082225), (""boyfriend"", 0.01879131105882431), (""offer"", 0.015932871455339597), (""rejection"", 0.015902698857992212), (""literally"", 0.012297742768476966), (""rub"", 0.010606511510621973), (""simple"", 0.004775912377200901), (""appriciate"", -0.004707896150121073)]",0.1288020313,0.8711979389,"["""", ""she "", ""didn"", ""t "", ""have "", ""to "", ""be "", ""a "", ""bitch "", ""about "", ""it"", "". "", ""she "", ""literally "", ""went "", ""out "", ""of "", ""her "", ""way "", ""to "", ""rub "", ""the "", ""rejection "", ""in "", ""his "", ""face"", "", "", ""when "", ""a "", ""simple "",  ""i "", ""app"", ""ric"", ""iate "", ""the "", ""offer "", ""but "", ""i "", ""have "", ""a "", ""boyfriend"",  ""would "", ""have "", ""su"", ""ffic"", ""ed"", ""."", """"]",0,0.1338068247
sexism2022_english-2771,pink is very feminine so i accept this bikini babe :) you've paid your dues :),sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,train,bikini babe,bikini babe,,0,0,0,"[(""babe"", 0.050696044337589126), (""bikini"", 0.04132759543231797), (""feminine"", 0.03136404514448824), (""accept"", 0.021751709811111842), (""this"", 0.020284041153646622), (""dues"", 0.018658667769220424), (""you"", 0.013395496302630228), (""your"", 0.010660828376301883), (""pink"", -0.023372290050832852), (""i"", -0.029800752575647297)]",0.8736819029,0.126318112,"[""pink "", ""accept "", ""bikini ""]",0.9536908865,-0.748120904,"[(""bikini"", 0.025660142372541415), (""paid"", 0.02208094548143024), (""feminine"", 0.01806688527048809), (""pink"", 0.017043513257756104), (""accept"", 0.015791702148484764), (""babe"", 0.013033582128347996), (""dues"", 0.012190551048505084)]",0.1331745237,0.8668254614,"["""", ""p"", ""ink "", ""is "", ""very "", ""feminine "", ""so "", ""i "", ""accept "", ""this "", ""bikini "", ""babe "", "":) "", ""you"", ""ve "", ""paid "", ""your "", ""dues "", "":)"", """"]",0,0.09393548965
sexism2022_english-19849,"yes. especially these days, it takes a lot to make a man beat a woman. dont buy into her bullshit. she probably deserve. at least hear the version of the guy. i would make an exception if it was a severe beating.",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,train,"make a man beat a woman, Dont buy into her bullshit",he,,0,1,1,"[(""woman"", 0.4835196534608148), (""dont"", 0.20676105812099355), (""beating"", 0.12028167342625848), (""deserve"", 0.10550760972922228), (""bullshit"", 0.07493877129591046), (""buy"", 0.047670239731774186), (""days"", 0.04652976767848751), (""make"", 0.04348466385739221), (""hear"", 0.0331374050306843), (""man"", -0.08664610737964033)]",0.07827790082,0.9217221737,"[""yes "", ""especially "", ""days "", ""takes "", ""make "", ""buy "", ""probably "", ""deserve "", ""version "", ""guy "", ""would "", ""make "", ""exception ""]",0.9897140265,-0.748120904,"[(""woman"", 0.020151486019748827), (""man"", 0.017664099478033518), (""guy"", 0.01733144726451832), (""bullshit"", 0.016494334163140525), (""make"", 0.01627938080827647), (""buy"", 0.01203690119199609), (""hear"", 0.010312394714388303), (""deserve"", 0.009463327904487758), (""probably"", 0.0093133430259899), (""beating"", 0.008735357642954411)]",0.109076485,0.8909235001,"["""", ""yes"", "". "", ""especially "", ""these "", ""days"", "", "", ""it "", ""takes "", ""a "", ""lot "", ""to "", ""make "", ""a "", ""man "", ""beat "", ""a "", ""woman"", "". "", ""dont "", ""buy "", ""into "", ""her "", ""bullshit"", "". "", ""she "", ""probably "", ""deserve"", "". "", ""at "", ""least "", ""hear "", ""the "", ""version "", ""of "", ""the "", ""guy"", "". "", ""i "", ""would "", ""make "", ""an "", ""exception "", ""if "", ""it "", ""was "", ""a "", ""severe "", ""beating"", ""."", """"]",0,0.1432313323
sexism2022_english-17938,put a fork in muslim-england she's done for and there is no saving it from going full islamic sharia law. what a millennium for england from being the greatest empire in the world to being evil islam's british child rapping and acid throwing bitch.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",train,"Put a fork in Muslim-England,  evil Islam's British, child rapping and acid throwing bitch.",Muslim-England,bitch,1,1,0,"[(""bitch"", 0.9742316896213007), (""done"", 0.0011826816482305201), (""throwing"", 0.0011776139017043558), (""put"", 0.0010351067755513287), (""acid"", 0.0009810133035240533), (""fork"", 0.0009394121268457596), (""evil"", 0.0008323443241541822), (""child"", 0.0007249720068948641), (""british"", -0.0007714520620082551), (""england"", -0.0008700938560309294)]",0.01082112361,0.989178896,"[""full "", ""sharia "", ""england "", ""empire "", ""world "", ""islam "", ""british "", ""acid "", ""throwing ""]",0.9775955081,-0.748120904,"[(""bitch"", 0.018501402921234922), (""evil"", 0.012818111040143316), (""throwing"", 0.012435636581418264), (""acid"", 0.012079277952603265), (""rapping"", 0.010999682434037967), (""child"", 0.010986726729161666), (""sharia"", 0.00821028139134069), (""full"", 0.00765224412986526), (""islamic"", 0.00681554218765103), (""law"", 0.006558020692626206)]",0.1170291975,0.8829708695,"["""", ""put "", ""a "", ""fork "", ""in "", ""mus"", ""lim"", ""-"", ""eng"", ""land "", ""she"", ""s "", ""done "", ""for "", ""and "", ""there "", ""is "", ""no "", ""saving "", ""it "", ""from "", ""going "", ""full "", ""is"", ""lam"", ""ic "", ""sh"", ""aria "", ""law"", "". "", ""what "", ""a "", ""millennium "", ""for "", ""eng"", ""land "", ""from "", ""being "", ""the "", ""greatest "", ""empire "", ""in "", ""the "", ""world "", ""to "", ""being "", ""evil "", ""is"", ""lam"", ""s "", ""b"", ""rit"", ""ish "", ""child "", ""r"", ""apping "", ""and "", ""acid "", ""throwing "", ""bitch"", ""."", """"]",0,0.1467847824
sexism2022_english-9987,"the she-god mentality of women is going down the drain. men make the world work and, yet, we bow to the bitches for occasional birthday present pussy. sexbots will be realistic very soon and women's days of pussy rule will be over. &;",sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,train,"we bow to the bitches for occasional birthday present pussy, women's days of pussy rule will be over",women," bitches, pussy",1,1,1,"[(""pussy"", 0.24790160985646373), (""bitches"", 0.24516715500102731), (""women"", 0.04686703497385419), (""rule"", 0.030049685241115818), (""mentality"", 0.020104328543484467), (""drain"", 0.01800310259870598), (""occasional"", 0.015986773623428558), (""sexbots"", 0.014575330425261527), (""soon"", 0.013441825570192165), (""bow"", -0.012474108453347307)]",0.00762952771,0.9923704863,"[""women "", ""going "", ""men "", ""make "", ""world "", ""work "", ""bow "", ""pussy "", ""women "", ""days "", ""rule""]",0.9680228233,-0.748120904,"[(""bitches"", 0.033772378921694955), (""men"", 0.02197349075769197), (""make"", 0.015382435062795793), (""work"", 0.012426292469358061), (""world"", 0.008643272297583483), (""women"", 0.007566074834193724), (""pussy"", 0.007471417986243016), (""occasional"", 0.006158828014210416), (""soon"", -0.006880084605274283), (""going"", -0.008671901077766107)]",0.1260000616,0.8739999533,"["""", ""the "", ""she"", ""-"", ""god "", ""mentality "", ""of "", ""women "", ""is "", ""going "", ""down "", ""the "", ""drain"", "". "", ""men "", ""make "", ""the "", ""world "", ""work "", ""and"", "", "", ""yet"", "", "", ""we "", ""bow "", ""to "", ""the "", ""bit"", ""ches "", ""for "", ""occasional "", ""birthday "", ""present "", ""pussy"", "". "", ""sex"", ""bots "", ""will "", ""be "", ""realistic "", ""very "", ""soon "", ""and "", ""women"", ""s "", ""days "", ""of "", ""pussy "", ""rule "", ""will "", ""be "", ""over"", "". "", ""&"", "";"", """"]",0,0.1448090076
sexism2022_english-7290,"the mediterranean countries are fucking hellholes. i have heard from some expats that dating in central europe (france, germany etc.) is easier and that women do approach men. here they never approach, even chad need work hard to get pussy",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,train,"The Mediterranean countries are fucking hellholes, need work hard to get pussy",The Mediterranean countries,"fucking hellholes, pussy",1,1,0,"[(""pussy"", 0.8556103912278736), (""women"", 0.049648829809347074), (""men"", 0.03275952335968314), (""approach"", 0.02815570155239867), (""hard"", 0.016034704397432226), (""even"", 0.013090250597941644), (""never"", 0.010118995909320045), (""mediterranean"", 0.009971389076909722), (""germany"", -0.008404498862096344), (""dating"", -0.009140955314349606)]",0.01110916771,0.9888908863,"[""mediterranean "", ""expats "", ""europe "", ""germany "", ""etc "", ""easier "", ""women "", ""approach "", ""men "", ""approach "", ""even "", ""need "", ""work ""]",0.9851276278,-0.748120904,"[(""hellholes"", 0.015583229698580328), (""women"", 0.01359481386540691), (""men"", 0.01168806279574111), (""never"", 0.009778360523877455), (""expats"", 0.009769633667832555), (""pussy"", 0.009274235512349363), (""fucking"", 0.007609554954477918), (""even"", 0.007594623507174893), (""work"", 0.005249785143517482), (""germany"", 0.004634535328355758)]",0.1374379694,0.8625620008,"["""", ""the "", ""med"", ""iterranean "", ""countries "", ""are "", ""fucking "", ""hell"", ""holes"", "". "", ""i "", ""have "", ""heard "", ""from "", ""some "", ""exp"", ""ats "", ""that "", ""dating "", ""in "", ""central "", ""euro"", ""pe "", ""("", ""f"", ""rance"", "", "", ""g"", ""erman"", ""y "", ""etc"", "".) "", ""is "", ""easier "", ""and "", ""that "", ""women "", ""do "", ""approach "", ""men"", "". "", ""here "", ""they "", ""never "", ""approach"", "", "", ""even "", ""ch"", ""ad "", ""need "", ""work "", ""hard "", ""to "", ""get "", ""pussy"", """"]",0,0.1263785362
sexism2022_english-19501,just fucking lol. what does she know about a hard life being subhuman. dumb whore,sexist,2. derogation,2.2 aggressive and emotive attacks,test,"Just fucking lol, Dumb whore",she,"fucking, Dumb whore",1,1,1,"[(""whore"", 0.9658598413489774), (""subhuman"", 0.003286896489118566), (""hard"", 0.001995042894457412), (""dumb"", 0.0017912522475576139), (""life"", 0.0011961822792746306), (""fucking"", 0.00044949387597017804), (""lol"", -6.8590648779270535e-06), (""know"", -0.0006757340351240392)]",0.00859369617,0.9914063215,"[""know "", ""life ""]",0.9964131713,-0.748120904,"[(""whore"", 0.03530224131348559), (""dumb"", 0.02501093266156335), (""subhuman"", 0.018257108844267317), (""life"", 0.009418734596835489), (""know"", 0.009013368749974554), (""hard"", 0.00474549544206124), (""lol"", 0.003967131633248765), (""fucking"", -0.01639644332036247)]",0.111969091,0.8880308867,"["""", ""just "", ""fucking "", ""lol"", "". "", ""what "", ""does "", ""she "", ""know "", ""about "", ""a "", ""hard "", ""life "", ""being "", ""sub"", ""human"", "". "", ""dumb "", ""whore"", """"]",0,0.13327384
sexism2022_english-16366,"hahaha, why didnt you say that to my face you little bitch? how surprisingly feminine of you to talk shit behind my back little boy. afraid of confrontation? you'll never be the man your mother is.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",train,How surprisingly feminine of you,you,"bitch, shit",1,1,1,"[(""bitch"", 0.8719987734038143), (""feminine"", 0.03697513275204942), (""shit"", 0.024394352409773258), (""mother"", 0.022670990888459676), (""never"", 0.022567014569536182), (""man"", 0.017234115820026815), (""talk"", 0.011747264259416745), (""face"", 0.008546389703180599), (""boy"", -0.009878711394172223), (""surprisingly"", -0.015824710502372386)]",0.007460008375,0.9925400615,"[""bitch "", ""surprisingly "", ""feminine "", ""shit "", ""behind "", ""boy "", ""confrontation "", ""mother""]",0.9306740165,-0.748120904,"[(""bitch"", 0.02217431155705438), (""little"", 0.017310527440223836), (""man"", 0.014805403823463889), (""afraid"", 0.014301485017573277), (""boy"", 0.012505761288820813), (""talk"", 0.011749317655732784), (""confrontation"", 0.009917424641648251), (""never"", 0.009494751276784591), (""feminine"", 0.007699274429376096), (""hahaha"", -0.007952784298567956)]",0.07824302465,0.9217569828,"["""", ""h"", ""ah"", ""aha"", "", "", ""why "", ""didnt "", ""you "", ""say "", ""that "", ""to "", ""my "", ""face "", ""you "", ""little "", ""bitch"", ""? "", ""how "", ""surprisingly "", ""feminine "", ""of "", ""you "", ""to "", ""talk "", ""shit "", ""behind "", ""my "", ""back "", ""little "", ""boy"", "". "", ""afraid "", ""of "", ""confrontation"", ""? "", ""you"", ""ll "", ""never "", ""be "", ""the "", ""man "", ""your "", ""mother "", ""is"", ""."", """"]",0,0.1469570994
sexism2022_english-9087,i would pay to see her ass cracker. ,sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test,I would pay to see her Ass Cracker.,her,Ass,0,0,1,"[(""ass"", 0.25129733548223476), (""pay"", 0.1314047807936584), (""would"", 0.08874286862761027), (""see"", 0.04032102437447426), (""cracker"", -0.4035143739138865)]",0.9471693039,0.05283072218,"[""see "", ""cracker""]",0.9832674861,-0.748120904,"[(""ass"", 0.046477349188594336), (""cracker"", 0.015932228602538425), (""pay"", 0.014216568837525501), (""see"", 0.0128848517792027), (""would"", 0.004644738801809481)]",0.1220852211,0.8779147267,"["""", ""i "", ""would "", ""pay "", ""to "", ""see "", ""her "", ""ass "", ""crack"", ""er"", "". "", """", """"]",0,0.1291898489
sexism2022_english-2964,i asked his dumbass why he fell for her. she has that gross cow-ring on her nose. ugly af and he gets sexy bitches.,sexist,2. derogation,2.1 descriptive attacks,train,"She has that gross cow-ring on her nose, Ugly af and he gets sexy bitches.",She,"dumbass,  Ugly af, sexy bitches",1,1,1,"[(""bitches"", 0.9647993062138666), (""ugly"", 0.009925781725002436), (""nose"", 0.006577315880226886), (""gross"", 0.005512012815121245), (""fell"", 0.0023000291494204416), (""sexy"", -0.0015597633248794992), (""dumbass"", -0.0016161444595846537), (""asked"", -0.004769369744932325), (""af"", -0.005132199090804022), (""gets"", -0.005542288422875303)]",0.009166780859,0.9908332229,"[""asked "", ""af "", ""gets "", ""sexy ""]",0.998906374,-0.748120904,"[(""bitches"", 0.03071139167764568), (""dumbass"", 0.025120454140364293), (""ugly"", 0.017683840970618973), (""sexy"", 0.011218420936759054), (""gross"", 0.005068374881753968), (""nose"", 0.0028957410417517625), (""gets"", 0.0016390653060736912), (""asked"", -0.0027840347143547584), (""fell"", -0.005111046775347439), (""af"", -0.005754390980218736)]",0.1200406253,0.8799594045,"["""", ""i "", ""asked "", ""his "", ""dumb"", ""ass "", ""why "", ""he "", ""fell "", ""for "", ""her"", "". "", ""she "", ""has "", ""that "", ""gross "", ""cow"", ""-"", ""ring "", ""on "", ""her "", ""nose"", "". "", ""ugly "", ""af "", ""and "", ""he "", ""gets "", ""sexy "", ""bit"", ""ches"", ""."", """"]",0,0.1390556693
sexism2022_english-19341,"hotter girls have higher bitch shields and shit test more, its called the hot-shit paradox lol",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",train,hotter girls have higher bitch shields and shit,girls,"bitch shields, shit",1,1,1,"[(""bitch"", 0.9509132032868354), (""hotter"", 0.011342230272632113), (""shit"", 0.008376396759799332), (""girls"", 0.006452833341998211), (""called"", 0.004517443644012717), (""lol"", 0.0008996266847346951), (""paradox"", -0.00020079559034275776), (""test"", -0.00037456791744537967), (""shields"", -0.001373706875273372), (""higher"", -0.001428297728975389)]",0.01574035361,0.984259665,"[""hotter "", ""girls "", ""higher "", ""shields "", ""called ""]",0.9941596985,-0.748120904,"[(""bitch"", 0.023069991573515393), (""called"", 0.021941318493370367), (""girls"", 0.01613241049755413), (""lol"", 0.014578732750340013), (""shit"", 0.01411470029121142), (""paradox"", 0.011603175215294253), (""test"", 0.007862611514005961), (""shields"", 0.0016816699021121528), (""higher"", 0.0005646178243234568), (""hotter"", -0.003574311795729434)]",0.1223896593,0.8776103854,"["""", ""hot"", ""ter "", ""girls "", ""have "", ""higher "", ""bitch "", ""shields "", ""and "", ""shit "", ""test "", ""more"", "", "", ""its "", ""called "", ""the "", ""hot"", ""-"", ""shit "", ""paradox "", ""lol"", """"]",0,0.09033030272
sexism2022_english-3048,i wish they'd thrown the commie race traitor bitch down & fucked her to death.,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,train,"they'd thrown the commie race traitor bitch down, fucked her to death",commie," bitch, fucked her",1,1,1,"[(""bitch"", 0.9702343329556881), (""death"", 0.002767643795921621), (""fucked"", 0.002740097796994726), (""thrown"", 0.0018695535233929329), (""wish"", 0.0012855859450781565), (""traitor"", 0.0008973278697803521), (""commie"", 0.00016077567007155916), (""race"", 1.6347536511465067e-05)]",0.00749937119,0.9925006032,"[""commie "", ""race ""]",0.9993744493,-0.748120904,"[(""traitor"", 0.041773369314952735), (""commie"", 0.037955023484733154), (""bitch"", 0.026835795173347395), (""death"", 0.010729965507972077), (""thrown"", 0.01069114665112935), (""race"", 0.010086682488425598), (""wish"", 0.0054601771670781145), (""fucked"", 0.0003384418905201078)]",0.07624562085,0.9237543941,"["""", ""i "", ""wish "", ""they"", ""d "", ""thrown "", ""the "", ""comm"", ""ie "", ""race "", ""traitor "", ""bitch "", ""down "", ""& "", ""fucked "", ""her "", ""to "", ""death"", ""."", """"]",0,0.151802063
sexism2022_english-704,"this guys gonna have a great time in the barracks. if they don't know who he is, they will the first time he takes a communal shower. christ, the women marines will even be giving him shit. ooorah! fuckin-a.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,dev,the women Marines will even be giving him shit,women,shit,0,0,0,"[(""women"", 0.037439539036183536), (""shit"", 0.02845307481883206), (""know"", 0.012841747978631144), (""christ"", 0.007132770556405034), (""takes"", -0.004832543558915185), (""first"", -0.00595507824768163), (""time"", -0.006516751154400864), (""barracks"", -0.009742225392792484), (""shower"", -0.01876825444372269), (""marines"", -0.0271702829681519)]",0.9561369419,0.04386304319,"[""guys "", ""gon "", ""great "", ""time "", ""barracks "", ""know "", ""time "", ""takes "", ""communal "", ""shower "", ""christ "", ""marines "", ""giving "", ""ooorah""]",0,0.1220887899,"[(""women"", 0.016536649092931482), (""know"", 0.012170748649669442), (""shower"", 0.008331618005465953), (""guys"", 0.00829307262117482), (""even"", 0.008265739297864491), (""giving"", 0.008254561104026576), (""takes"", 0.00788703401445345), (""shit"", 0.006909707930061702), (""na"", 0.00622789748439577), (""great"", 0.005554749464323218)]",0.1403733045,0.8596267104,"["""", ""this "", ""guys "", ""gonna "", ""have "", ""a "", ""great "", ""time "", ""in "", ""the "", ""barracks"", "". "", ""if "", ""they "", ""don"", ""t "", ""know "", ""who "", ""he "", ""is"", "", "", ""they "", ""will "", ""the "", ""first "", ""time "", ""he "", ""takes "", ""a "", ""communal "", ""shower"", "". "", ""christ"", "", "", ""the "", ""women "", ""marines "", ""will "", ""even "", ""be "", ""giving "", ""him "", ""shit"", "". "", ""o"", ""oor"", ""ah"", ""! "", ""fuckin"", ""-"", ""a"", ""."", """"]",0,0.126654923
sexism2022_english-11647,she may be worth what someone paid for her in terms of stimulating walking away.,sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,train,She may be worth what someone paid for her,She,_,0,0,0,"[(""away"", 0.0010533846788047154), (""worth"", 0.000923295578929056), (""stimulating"", 0.0007864322473658621), (""someone"", -9.846600583988255e-05), (""terms"", -0.00015269100437699068), (""walking"", -0.000521338736852148), (""may"", -0.0006893556535746089), (""paid"", -0.0013326213893552876)]",0.9829291105,0.01707092673,"[""worth "", ""someone "", ""paid "", ""terms "", ""stimulating "", ""walking ""]",0.9495129585,-0.748120904,"[(""someone"", 0.035935999930541244), (""walking"", 0.029026456884129703), (""paid"", 0.022887177844169847), (""stimulating"", 0.008944790116039143), (""away"", 0.008308985366703674), (""terms"", 0.008248518949508402), (""worth"", 0.006807713108895142), (""may"", -0.002582937510748998)]",0.1329645962,0.8670353889,"["""", ""she "", ""may "", ""be "", ""worth "", ""what "", ""someone "", ""paid "", ""for "", ""her "", ""in "", ""terms "", ""of "", ""stimulating "", ""walking "", ""away"", ""."", """"]",0,0.1243767142
sexism2022_english-8721,"yeah, well, plenty of men have been hit by women without ever being able to hit back, so i am not eager to cry a river.",sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,train,men have been hit by women,women,,0,0,0,"[(""women"", 0.16390645991624633), (""eager"", 0.06764757550225937), (""cry"", 0.058916552274533865), (""back"", 0.048122705096969864), (""able"", 0.04481975078408838), (""river"", 0.026479254319242813), (""plenty"", 0.025923286680677154), (""yeah"", 0.017382786499665324), (""ever"", 0.015933475995019715), (""hit"", -0.09969940909698191)]",0.7114489675,0.2885510325,"[""well "", ""plenty "", ""men "", ""hit "", ""women "", ""back ""]",0.8733453751,-0.748120904,"[(""women"", 0.03220772669067192), (""men"", 0.031172333990645305), (""without"", 0.0169012194691922), (""hit"", 0.013936727395781109), (""plenty"", 0.013347698340205745), (""well"", 0.011730292163974436), (""cry"", 0.009177291349330256), (""back"", 0.008906436339273844), (""ever"", 0.00741639383586583), (""yeah"", 0.005300912299080057)]",0.105845809,0.8941542506,"["""", ""yeah"", "", "", ""well"", "", "", ""plenty "", ""of "", ""men "", ""have "", ""been "", ""hit "", ""by "", ""women "", ""without "", ""ever "", ""being "", ""able "", ""to "", ""hit "", ""back"", "", "", ""so "", ""i "", ""am "", ""not "", ""eager "", ""to "", ""cry "", ""a "", ""river"", ""."", """"]",0,0.1397393942
sexism2022_english-7250,"rot in hell bitch. you are a disgrace to aunties, moms, and law abiding us citizens. you deserve to lose all that you’ve “gained” from your corrupt political practices.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",train,"Rot in hell bitch, ",You,bitch,1,1,1,"[(""bitch"", 0.9395252636644428), (""aunties"", 0.010622961093948367), (""rot"", 0.00819444165159897), (""deserve"", 0.007882137857513002), (""moms"", 0.004536685983370014), (""lose"", 0.004161059239991307), (""hell"", 0.0035462131516078286), (""law"", -0.003198607051708308), (""citizens"", -0.004270641246108901), (""us"", -0.007091639521518317)]",0.007343803532,0.9926562309,"[""aunties "", ""law "", ""abiding "", ""us "", ""citizens "", ""deserve "", ""gained ""]",0.9997289777,-0.748120904,"[(""bitch"", 0.0240726960152386), (""corrupt"", 0.02370724721568101), (""citizens"", 0.014066860602974166), (""deserve"", 0.013862392431703275), (""lose"", 0.013836190314055), (""political"", 0.012403788355162607), (""aunties"", 0.010450471515314507), (""us"", 0.01010442271765032), (""abiding"", 0.009304359911361472), (""disgrace"", 0.008460218668970473)]",0.06538324058,0.9346168041,"["""", ""rot "", ""in "", ""hell "", ""bitch"", "". "", ""you "", ""are "", ""a "", ""disgrace "", ""to "", ""aunt"", ""ies"", "", "", ""moms"", "", "", ""and "", ""law "", ""abiding "", ""us "", ""citizens"", "". "", ""you "", ""deserve "", ""to "", ""lose "", ""all "", ""that "", ""you"", ""’"", ""’"", ""ve "", ""“"", ""“"", ""g"", ""ained"", ""”"", ""” "", ""from "", ""your "", ""corrupt "", ""political "", ""practices"", ""."", """"]",0,0.1509646177
sexism2022_english-11296,"if you don't want your mother fucked, keep her off the streets",sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,test," you don't want your mother fucked",mother,fucked,0,0,0,"[(""mother"", 0.2261746046743344), (""fucked"", 0.22613217722535287), (""want"", 0.22452044610543717), (""keep"", 0.007874163903414841), (""streets"", -0.12930053232270486)]",0.03310475126,0.9668952227,"[""want "", ""mother ""]",0.9962034822,-0.748120904,"[(""want"", 0.03266467517472345), (""mother"", 0.027687358501491212), (""keep"", 0.011516802627901855), (""fucked"", 0.00907144532803045), (""streets"", 0.008388153082692407)]",0.159304589,0.8406953812,"["""", ""if "", ""you "", ""don"", ""t "", ""want "", ""your "", ""mother "", ""fucked"", "", "", ""keep "", ""her "", ""off "", ""the "", ""streets"", """"]",0,0.1058263779
sexism2022_english-1860,you don't praise women who act like cunts > >:( >must be an incel,sexist,2. derogation,2.2 aggressive and emotive attacks,train,women who act like cunts,women,cunts,1,1,0,"[(""cunts"", 0.9013229669427174), (""women"", 0.03709721348501065), (""act"", 0.03304224442847281), (""like"", 0.028461871572668912), (""must"", 0.02744421516633567), (""praise"", 0.011659402714087342), (""incel"", -0.0467003289381941)]",0.01012724638,0.989872694,"[""praise "", ""women "", ""act "", ""like "", ""cunts ""]",0,-0.04490053654,"[(""cunts"", 0.03978150939853459), (""like"", 0.024899836797572555), (""women"", 0.023931435444627402), (""praise"", 0.01593581211250531), (""must"", 0.014279076720653929), (""act"", 0.011820396542983025), (""incel"", 0.007157966724718399)]",0.08040979505,0.9195902348,"["""", ""you "", ""don"", ""t "", ""praise "", ""women "", ""who "", ""act "", ""like "", ""c"", ""unts "", ""> "", "">"", "":( "", "">"", ""must "", ""be "", ""an "", ""in"", ""cel"", """"]",0,0.1188644767
